Order ID,Customer ID,Customer Name,Segment
ORD000001,CUST000001,Curtis,Consumer
ORD000002,CUST000002,Jeremy,Corporate
ORD000003,CUST000003,Ariel,Consumer
ORD000004,CUST000004,Colleen,Corporate
ORD000005,CUST000005,Gina,Consumer
ORD000006,CUST000006,Danny,Consumer
ORD000007,CUST000007,Stephanie,Consumer
ORD000008,CUST000008,Henry,Consumer
ORD000009,CUST000009,Kristen,Corporate
ORD000010,CUST000010,Gregory,Corporate
ORD000011,CUST000011,Sara,Corporate
ORD000012,CUST000012,Kenneth,Consumer
ORD000013,CUST000013,Charles,Corporate
ORD000014,CUST000014,Brenda,Corporate
ORD000015,CUST000015,Michael,Consumer
ORD000016,CUST000016,Cheryl,Corporate
ORD000017,CUST000017,Timothy,Consumer
ORD000018,CUST000018,Charlene,Corporate
ORD000019,CUST000019,Dustin,Consumer
ORD000020,CUST000020,Mary,Consumer
ORD000021,CUST000021,Christie,Corporate
ORD000022,CUST000022,Patricia,Corporate
ORD000023,CUST000023,Steven,Corporate
ORD000024,CUST000024,Robert,Corporate
ORD000025,CUST000025,Julie,Consumer
ORD000026,CUST000026,Michael,Consumer
ORD000027,CUST000027,Shelly,Corporate
ORD000028,CUST000028,Dale,Consumer
ORD000029,CUST000029,Megan,Consumer
ORD000030,CUST000030,Michael,Corporate
ORD000031,CUST000031,Natasha,Consumer
ORD000032,CUST000032,William,Consumer
ORD000033,CUST000033,Gregg,Consumer
ORD000034,CUST000034,Lori,Consumer
ORD000035,CUST000035,Brooke,Consumer
ORD000036,CUST000036,Kevin,Corporate
ORD000037,CUST000037,Sandy,Consumer
ORD000038,CUST000038,Morgan,Corporate
ORD000039,CUST000039,Kevin,Consumer
ORD000040,CUST000040,Jeanne,Corporate
ORD000041,CUST000041,Kayla,Corporate
ORD000042,CUST000042,Michelle,Consumer
ORD000043,CUST000043,Timothy,Consumer
ORD000044,CUST000044,Richard,Corporate
ORD000045,CUST000045,Joseph,Consumer
ORD000046,CUST000046,Joshua,Consumer
ORD000047,CUST000047,Victoria,Corporate
ORD000048,CUST000048,Amy,Consumer
ORD000049,CUST000049,Amber,Consumer
ORD000050,CUST000050,Patrick,Corporate
ORD000051,CUST000051,Misty,Consumer
ORD000052,CUST000052,Michelle,Corporate
ORD000053,CUST000053,Kristen,Consumer
ORD000054,CUST000054,Michael,Corporate
ORD000055,CUST000055,Nancy,Corporate
ORD000056,CUST000056,Jay,Corporate
ORD000057,CUST000057,John,Consumer
ORD000058,CUST000058,Courtney,Consumer
ORD000059,CUST000059,Sharon,Corporate
ORD000060,CUST000060,Thomas,Corporate
ORD000061,CUST000061,Jeffrey,Corporate
ORD000062,CUST000062,Chad,Consumer
ORD000063,CUST000063,Laura,Corporate
ORD000064,CUST000064,Laura,Consumer
ORD000065,CUST000065,Daniel,Consumer
ORD000066,CUST000066,Katherine,Consumer
ORD000067,CUST000067,Dustin,Corporate
ORD000068,CUST000068,Victor,Consumer
ORD000069,CUST000069,Rebecca,Corporate
ORD000070,CUST000070,Kara,Corporate
ORD000071,CUST000071,Anthony,Corporate
ORD000072,CUST000072,Teresa,Corporate
ORD000073,CUST000073,Evelyn,Corporate
ORD000074,CUST000074,Elizabeth,Corporate
